name,lat,lon,province,population,feature_code,geonameid
a coruna,43.37135,-8.396,Coruna,246146,PPLA3,3119841
a guarda,41.90131,-8.87423,Pontevedra,10453,PPLA3,3119646
a mezquita,42.01314,-7.04675,Ourense,1304,PPL,3119424
a veiga,42.25004,-7.0261,Ourense,886,PPLA3,3118724
ababuj,40.54908,-0.80758,Teruel,73,PPLA3,3131144
abades,40.91646,-4.26937,Segovia,882,PPLA3,3131141
abadia,40.25922,-5.97828,Caceres,330,PPLA3,3131138
abadin,43.36667,-7.48333,Lugo,2760,PPLA3,3131136
abadino,43.1511,-2.60942,Bizkaia,7385,PPLA3,3131137
abaigar,42.64823,-2.14182,Navarra,101,PPLA3,3131135
abajas,42.6231,-3.58086,Burgos,29,PPLA3,3131133
abalos,42.57154,-2.70956,La Rioja,357,PPLA3,3131128
abaltzisketa,43.04744,-2.10532,Gipuzkoa,324,PPLA3,3131131
abanades,40.89261,-2.48526,Guadalajara,70,PPLA3,3131126
abanilla,38.20537,-1.04153,Murcia,6063,PPLA3,2522505
abanto,41.13751,-1.69818,Zaragoza,78,PPLA3,3131117
abanto zierbena / abanto y ciervana,43.31667,-3.08333,Bizkaia,9708,ADM3,3131115
abaran,38.20551,-1.39907,Murcia,13030,PPL,2522499
abarca de campos,42.06253,-4.84123,Palencia,39,PPL,3131113
abarzuza/abartzuza,42.75904,-2.03905,Navarra,548,ADM3,6359551
abaurregaina/abaurrea alta,42.9,-1.2,Navarra,133,PPL,3131107
abaurrepea/abaurrea baja,42.9041,-1.23117,Navarra,39,ADM3,6359553
abegondo,43.21667,-8.28333,Coruna,5709,PPLA3,3131093
abejar,41.80755,-2.78407,Soria,367,PPLA3,3131090
abejuela,39.91039,-0.89444,Teruel,62,PPL,2522493
abella de la conca,42.16163,1.09228,Lleida,174,PPLA3,3131075
abengibre,39.21667,-1.53333,Albacete,888,PPLA3,2522490
abenojar,38.88032,-4.35702,Ciudad Real,1579,PPLA3,2522488
aberin,42.62092,-1.99285,Navarra,392,ADM3,6359554
abertura,39.24352,-5.81394,Caceres,432,PPLA3,2522486
abezames,41.62642,-5.42577,Zamora,78,PPLA3,3131061
abia de la obispalia,40.01836,-2.39499,Cuenca,81,PPL,3131058
abia de las torres,42.42016,-4.42131,Palencia,180,PPLA3,3131057
abiego,42.12094,-0.06873,Huesca,259,PPLA3,3131056
abizanda,42.24236,0.19717,Huesca,162,PPLA3,3131049
abla,37.14245,-2.77808,Almeria,1465,PPLA3,2522483
ablanque,40.89818,-2.22523,Guadalajara,100,PPLA3,3131040
ablitas,41.9745,-1.64053,Navarra,2663,PPLA3,3131037
abrera,41.51682,1.901,Barcelona,11870,PPL,3131024
abrucena,37.13226,-2.79711,Almeria,1360,PPLA3,2522476
abusejo,40.709,-6.14074,Salamanca,233,PPLA3,3131018
"acebeda, la",41.08711,-3.62454,Madrid,65,PPL,3120046
acebedo,43.03969,-5.116,Leon,256,PPLA3,3131010
acebo,40.20105,-6.71689,Caceres,648,PPLA3,3131003
"acebron, el",39.90866,-2.98321,Cuenca,266,PPL,2518765
acedera,39.07678,-5.57384,Badajoz,810,PPLA3,2522460
acehuche,39.8026,-6.63372,Caceres,846,PPL,2522459
aceituna,40.15008,-6.33292,Caceres,626,PPLA3,3130995
acered,41.1708,-1.604,Zaragoza,131,PPLA3,12041364
aceuchal,38.64627,-6.48636,Badajoz,5702,PPLA3,2522446
adahuesca,42.1461,-0.00804,Huesca,196,PPLA3,3130965
adalia,41.64894,-5.12107,Valladolid,57,PPLA3,3130962
adamuz,38.02674,-4.52231,Cordoba,4446,PPLA3,2522438
adanero,40.94487,-4.60561,Avila,266,PPLA3,3130958
adeje,28.12271,-16.726,Santa Cruz de Tenerife,46894,PPLA3,2522437
ademuz,40.06139,-1.28677,Valencia,1258,PPLA3,3130950
adios,42.68635,-1.73532,Navarra,189,PPLA3,3130946
adobes,40.67584,-1.67916,Guadalajara,53,PPLA3,3130943
ador,38.91823,-0.22247,Valencia,1440,PPLA3,2522432
adra,36.74831,-3.02076,Almeria,24626,PPLA3,2522430
adrada de haza,41.59454,-3.82327,Burgos,243,PPLA3,3130942
adrada de piron,41.05257,-4.05107,Segovia,45,PPLA3,3130941
"adrada, la",40.29953,-4.63589,Avila,2704,PPL,3120038
adradas,41.35098,-2.47373,Soria,70,PPLA3,3130940
adrados,41.36816,-4.11186,Segovia,170,PPLA3,3130938
adsubia,38.84819,-0.15324,Alicante,749,PPLA3,2522428
aduna,43.20375,-2.05033,Gipuzkoa,452,PPLA3,3130931
agaete,28.10023,-15.69998,Las Palmas,5767,PPLA3,2522423
agallas,40.44867,-6.44176,Salamanca,152,PPLA3,3130924
ager,42,0.76667,Lleida,593,PPLA3,3130920
agolada,42.79254,-8.0504,Pontevedra,2803,ADM3,6360222
agon,41.85574,-1.45233,Zaragoza,146,PPLA3,3130917
agoncillo,42.44667,-2.2898,La Rioja,1164,PPLA3,3130916
agost,38.44003,-0.63836,Alicante,4791,PPLA3,2522419
agramunt,41.78686,1.09683,Lleida,5633,PPLA3,3130911
agreda,41.85588,-1.92244,Soria,3177,PPLA3,3130909
agres,38.78333,-0.51667,Alicante,598,PPLA3,2522416
agron,37.03023,-3.8287,Granada,342,PPLA3,2522412
aguadulce,37.25273,-4.99269,Sevilla,2165,PPLA3,2522387
aguaron,41.33901,-1.27055,Zaragoza,631,PPLA3,3130889
aguas candidas,42.71652,-3.50258,Burgos,65,PPL,3130881
